,datetime,core_temp,bark_temp
4542,2021-02-03,303.88,301.7
4541,2021-02-03,303.9,301.7
4540,2021-02-03,303.9,301.76
4539,2021-02-03,303.9,301.7
4538,2021-02-03,303.9,301.71999999999997
4537,2021-02-03,303.96,301.76
4536,2021-02-03,303.96,301.7
4535,2021-02-03,303.96,301.76
4534,2021-02-03,304.03,301.76
4533,2021-02-03,304.03,301.76
4532,2021-02-03,304.03,301.78999999999996
4531,2021-02-03,304.04999999999995,301.76
4530,2021-02-03,304.03,301.76
4529,2021-02-03,304.03,301.81
4528,2021-02-03,304.03,301.83
4527,2021-02-03,304.04999999999995,301.83
4526,2021-02-03,304.07,301.81
4525,2021-02-03,304.04999999999995,301.84999999999997
4524,2021-02-03,304.04999999999995,301.89
4523,2021-02-03,304.09,301.84999999999997
4522,2021-02-03,304.09,301.89
4521,2021-02-03,304.09,301.89
4520,2021-02-03,304.09,301.89
4519,2021-02-03,304.09,301.92999999999995
4518,2021-02-03,304.10999999999996,301.95
4517,2021-02-03,304.13,301.96999999999997
4516,2021-02-03,304.15,301.92999999999995
4515,2021-02-03,304.15,301.95
4514,2021-02-03,304.15,301.92999999999995
4513,2021-02-03,304.15,301.96999999999997
4512,2021-02-03,304.15,301.98999999999995
4511,2021-02-03,304.15,301.96999999999997
4510,2021-02-03,304.15,302.01
4509,2021-02-03,304.15,301.98999999999995
4508,2021-02-03,304.15,302.01
4507,2021-02-03,304.13,301.98999999999995
4506,2021-02-03,304.15,302.01
4505,2021-02-03,304.16999999999996,302.08
4504,2021-02-03,304.21,301.98999999999995
4503,2021-02-03,304.27,302.01
4502,2021-02-03,304.27,302.01
4501,2021-02-03,304.32,302.08
4500,2021-02-03,304.32,302.08
4499,2021-02-03,304.32,302.08
4498,2021-02-03,304.34,302.08
4497,2021-02-03,304.38,302.12
4496,2021-02-03,304.46,302.14
4495,2021-02-03,304.44,302.14
4494,2021-02-03,304.46,302.14
4493,2021-02-03,304.46,302.2
4492,2021-02-03,304.54999999999995,302.17999999999995
4491,2021-02-03,304.59,302.14
4490,2021-02-03,304.59,302.2
4489,2021-02-03,304.59,302.2
4488,2021-02-03,304.59,302.2
4487,2021-02-03,304.69,302.15999999999997
4486,2021-02-03,304.71,302.2
4485,2021-02-03,304.65,302.21999999999997
4484,2021-02-03,304.69,302.21999999999997
4483,2021-02-03,304.72999999999996,302.26
4482,2021-02-03,304.84,302.26
4481,2021-02-03,304.77,302.28999999999996
4480,2021-02-03,304.77,302.31
4479,2021-02-03,304.82,302.28999999999996
4478,2021-02-03,304.77,302.26
4477,2021-02-03,304.9,302.28999999999996
4476,2021-02-03,304.84,302.26
4475,2021-02-03,304.96,302.28999999999996
4474,2021-02-03,305.0,302.34999999999997
4473,2021-02-03,305.04999999999995,302.31
4472,2021-02-03,304.96,302.37
4471,2021-02-03,305.27,302.37
4470,2021-02-03,305.38,302.39
4469,2021-02-03,305.25,302.39
4468,2021-02-03,305.16999999999996,302.39
4467,2021-02-03,305.13,302.39
4466,2021-02-03,305.09,302.39
4465,2021-02-03,305.07,302.39
4464,2021-02-03,305.07,302.39
4463,2021-02-03,305.0,302.40999999999997
4462,2021-02-03,304.9,302.39
4461,2021-02-03,304.84,302.45
4460,2021-02-03,304.77,302.46999999999997
4459,2021-02-03,304.71,302.42999999999995
4458,2021-02-03,304.65,302.51
4457,2021-02-03,304.53,302.45
4456,2021-02-03,304.46,302.48999999999995
4455,2021-02-03,304.4,302.48999999999995
4454,2021-02-03,304.38,302.48999999999995
4453,2021-02-03,304.32,302.46999999999997
4452,2021-02-03,304.27,302.51
4451,2021-02-03,304.21,302.51
4450,2021-02-03,304.15,302.51
4449,2021-02-03,304.09,302.48999999999995
4448,2021-02-03,304.03,302.51
4447,2021-02-03,303.94,302.51
4446,2021-02-03,303.9,302.53999999999996
4445,2021-02-03,303.77,302.58
4444,2021-02-03,303.75,302.58
4443,2021-02-03,303.65,302.58
4442,2021-02-03,303.59,302.56
4441,2021-02-03,303.54999999999995,302.58
4440,2021-02-03,303.53,302.56
4439,2021-02-03,303.5,302.58
4438,2021-02-03,303.46,302.58
4437,2021-02-03,303.41999999999996,302.53999999999996
4436,2021-02-03,303.4,302.59999999999997
4435,2021-02-03,303.34,302.59999999999997
4434,2021-02-03,303.34,302.62
4433,2021-02-03,303.27,302.62
4432,2021-02-03,303.27,302.64
4431,2021-02-03,303.21,302.64
4430,2021-02-03,303.16999999999996,302.59999999999997
4429,2021-02-03,303.15,302.67999999999995
4428,2021-02-03,303.09,302.64
4427,2021-02-03,303.09,302.64
4426,2021-02-03,303.03,302.59999999999997
4425,2021-02-03,303.03,302.64
4424,2021-02-03,302.96,302.64
4423,2021-02-03,302.96,302.64
4422,2021-02-03,302.96,302.64
4421,2021-02-03,302.9,302.62
4420,2021-02-03,302.9,302.64
4419,2021-02-03,302.84,302.62
4418,2021-02-03,302.77,302.62
4417,2021-02-03,302.77,302.64
4416,2021-02-03,302.72999999999996,302.64
4415,2021-02-03,302.71,302.65999999999997
4414,2021-02-03,302.66999999999996,302.64
4413,2021-02-03,302.65,302.64
4412,2021-02-03,302.65,302.64
4411,2021-02-03,302.60999999999996,302.65999999999997
